t[s]	U[V]	I[A]	Piro[C]	TC[C]
5.66	11.07	10.76	911.6	934.1
5.67	11.05	10.75	911.9	935.5
5.68	11.06	10.75	912.5	935.9
5.69	11.06	10.74	913.0	936.4
5.7	11.06	10.73	913.6	936.4
5.71	11.06	10.73	914.0	936.0
5.72	11.06	10.71	914.8	938.2
5.73	11.05	10.69	915.1	937.9
5.74	11.05	10.68	915.9	938.3
5.75	11.06	10.68	916.2	938.4
5.76	11.08	10.68	916.5	940.0
5.77	11.05	10.66	917.2	940.2
5.78	11.05	10.64	917.5	940.4
5.79	11.06	10.64	917.9	940.5
5.8	11.07	10.64	918.2	941.4
5.81	11.07	10.64	918.5	942.0
5.82	11.06	10.62	919.0	942.6
5.83	11.06	10.61	919.3	942.7
5.84	11.06	10.6	919.9	941.6
5.85	11.06	10.6	920.3	943.8
5.86	11.06	10.58	920.6	944.2
5.87	11.07	10.57	921.2	944.5
5.88	11.06	10.56	921.4	943.9
5.89	11.06	10.56	921.5	945.5
5.9	11.06	10.54	922.3	945.9
5.91	11.05	10.53	922.6	946.4
5.92	11.07	10.54	923.0	946.2
5.93	11.05	10.52	923.3	946.4
5.94	11.07	10.52	923.8	947.2
5.95	11.05	10.5	924.1	948.0
5.96	11.07	10.5	924.4	948.4
5.97	11.06	10.49	924.7	948.0
5.98	11.06	10.48	925.2	949.5
5.99	11.06	10.47	925.7	949.4
6.0	11.06	10.46	925.8	949.7
6.01	11.05	10.45	926.2	949.6
6.02	11.05	10.44	926.4	950.8
6.03	11.06	10.44	926.5	951.3
6.04	11.05	10.43	927.3	951.9
6.05	11.05	10.41	927.4	952.2
6.06	11.05	10.4	927.6	951.9
6.07	11.07	10.41	928.2	953.1
6.08	11.05	10.39	928.3	953.2
6.09	11.06	10.38	928.9	953.7
6.1	11.05	10.38	929.2	953.7
6.11	11.07	10.36	929.5	955.2
6.12	11.05	10.36	929.8	954.9
6.13	11.05	10.34	930.0	954.8
6.14	11.05	10.34	931.0	955.2
6.15	11.06	10.33	931.4	956.7
6.16	11.05	10.32	931.8	956.9
6.17	11.05	10.31	931.9	957.0
6.18	11.05	10.31	932.5	956.7
6.19	11.05	10.3	933.0	957.6
6.2	11.06	10.29	933.6	958.7
6.21	11.06	10.28	933.9	958.7
6.22	11.05	10.28	933.9	958.9
6.23	11.06	10.28	934.3	958.4
6.24	11.05	10.25	934.5	960.0
6.25	11.08	10.27	934.5	959.8
6.26	11.06	10.24	935.2	960.3
6.27	11.08	10.26	935.5	959.9
6.28	11.06	10.23	936.1	961.6
6.29	11.08	10.23	936.6	961.8
6.3	11.06	10.21	936.8	961.7
6.31	11.08	10.22	937.0	962.2
6.32	11.06	10.2	937.5	962.8
6.33	11.08	10.2	938.1	963.7
6.34	11.06	10.18	938.5	963.7
6.35	11.07	10.18	938.9	964.3
6.36	11.07	10.17	939.5	963.5
6.37	11.05	10.14	939.8	964.7
6.38	11.07	10.15	940.2	964.8
6.39	11.05	10.13	940.1	965.5
6.4	11.06	10.13	940.7	965.0
6.41	11.08	10.14	941.1	966.1
6.42	11.06	10.11	941.4	966.6
6.43	11.07	10.12	941.7	966.2
6.44	11.06	10.1	941.6	965.8
6.45	11.05	10.09	942.1	967.5
6.46	11.06	10.09	942.1	967.6
6.47	11.04	10.07	942.2	968.4
6.48	11.06	10.06	942.6	968.5
6.49	11.07	10.07	942.7	968.7
6.5	11.05	10.05	943.5	969.2
6.51	11.05	10.04	943.7	969.2
6.52	11.06	10.04	943.9	969.7
6.53	11.06	10.04	944.4	969.5
6.54	11.05	10.02	944.9	970.3
6.55	11.05	10.01	945.2	970.7
6.56	11.07	10.01	945.9	970.6
6.57	11.06	10.0	946.2	970.7
6.58	11.06	9.99	946.5	971.9
6.59	11.07	9.99	946.7	972.0
6.6	11.07	9.99	947.5	972.7
6.61	11.07	9.97	947.5	972.5
6.62	11.06	9.96	947.8	972.7
6.63	11.05	9.95	948.0	973.4
6.64	11.07	9.95	948.6	973.9
6.65	11.06	9.95	948.7	974.1
6.66	11.06	9.94	949.1	973.4
6.67	11.05	9.92	949.0	974.6
6.68	11.05	9.9	949.1	975.2
6.69	11.06	9.91	949.4	976.0
6.7	11.07	9.91	949.5	975.7
6.71	11.08	9.91	949.8	976.4
6.72	11.05	9.88	950.1	976.4
6.73	11.05	9.87	950.2	976.6
6.74	11.05	9.87	950.8	976.5
6.75	11.05	9.86	950.8	976.4
6.76	11.06	9.86	951.1	977.8
6.77	11.08	9.86	951.2	978.5
6.78	11.07	9.85	951.6	978.9
6.79	11.08	9.85	951.8	978.1
6.8	11.07	9.84	952.1	979.0
6.81	11.07	9.83	952.1	979.7
6.82	11.05	9.81	952.6	979.6
6.83	11.06	9.8	952.9	979.4
6.84	11.05	9.79	953.4	980.3
6.85	11.06	9.79	953.6	981.0
6.86	11.06	9.79	954.0	981.0
6.87	11.07	9.79	954.2	981.4
6.88	11.07	9.78	954.4	981.4
6.89	11.06	9.77	954.8	981.7
6.9	11.05	9.75	954.9	982.3
